Epoch,Train Accuracy,Validation Accuracy,Epoch Time,Test Accuracy
1,0.7859987854067643,0.8598747334754797,11.264825582504272,
2,0.901192380637831,0.8916244669509595,11.221115350723267,
3,0.9264656653872089,0.8913579424307037,11.365952968597412,
4,0.945008294844263,0.8950892857142857,11.041866779327393,
5,0.9597612276562075,0.8937233475479744,11.171227216720581,
6,0.9713939744045503,0.8909914712153518,11.115961074829102,
7,0.9800813188766442,0.8913579424307037,11.264936447143555,
8,0.9851137575542126,0.8889925373134329,11.13676118850708,
9,0.9881576608602916,0.8916577825159915,11.055237770080566,
10,0.9910112276562075,0.8908582089552238,11.237939357757568,
11,0.9918681123355848,0.8918909914712153,11.308148622512817,
12,0.993077526980772,0.8902252132196162,11.129741430282593,
13,0.9935455918947743,0.8888592750533049,11.44833755493164,
14,0.9944009953785994,0.8909581556503199,11.355440616607666,
15,0.9949120156416636,0.8920575692963753,11.20864748954773,
16,0.9954341450408816,0.8927238805970149,11.397511959075928,
17,0.995267507998578,0.8911913646055437,11.511090993881226,
18,0.9961562388908638,0.8915911513859275,11.692641973495483,
19,0.996178457163171,0.8883262260127932,11.661430358886719,
20,0.9959229470316389,0.8906583155650319,12.344288349151611,
21,0.9969116601493068,0.888492803837953,11.99651288986206,
22,0.9967561322431567,0.8889259061833689,12.002151012420654,
23,0.9969005510131532,0.8919243070362474,12.011846542358398,
24,0.9969005510131532,0.8891924307036247,12.017507791519165,
25,0.997011642374689,0.8834954690831557,12.080635786056519,
26,0.9967783505154639,0.8898587420042644,11.239576578140259,
27,0.9976226448631355,0.8885261194029851,11.29880166053772,
28,0.997089406327764,0.8907915778251599,11.067179203033447,
29,0.9972449342339139,0.8916910980810234,11.447654247283936,
30,0.9974226804123711,0.8905916844349681,11.057467699050903,
31,0.9973338073231426,0.8908582089552238,11.178690671920776,
32,0.997555990046214,0.8901918976545842,11.104672908782959,
33,0.997478226093139,0.8889925373134329,11.27379322052002,
34,0.9977559544969783,0.8900253198294243,11.286444664001465,
35,0.9975448809100604,0.8899920042643923,11.254374742507935,
36,0.9973767626722047,0.8900586353944563,11.237697839736938,
37,0.9980114646285105,0.8909248400852878,11.349133729934692,
38,0.9979670280838961,0.8915578358208955,11.103347778320312,
39,0.997555990046214,0.8884594882729211,11.232511281967163,
40,0.9980447920369712,0.8911247334754797,11.183572769165039,
41,0.9978559367223605,0.8893923240938166,11.906949520111084,
42,0.9980336829008176,0.8893256929637526,12.215000629425049,
43,0.9983558478492712,0.8901252665245203,11.049413681030273,
44,0.9980003554923569,0.8909914712153518,12.868475675582886,
45,0.9979448098115891,0.8920242537313433,11.125994443893433,
46,0.9982669747600427,0.8897254797441365,11.336115598678589,
47,0.9982003199431212,0.8891924307036247,11.241612195968628,
48,0.9982225382154284,0.888726012793177,11.162675142288208,
49,0.9979892463562033,0.8859608208955224,11.328520774841309,
50,0.9980670103092784,0.8884261727078892,11.26268482208252,
51,0.9981669925346605,0.8879930703624733,11.145053625106812,
52,0.9980781194454319,0.8898254264392325,11.298745155334473,
53,0.9980003554923569,0.8889259061833689,11.15605878829956,
54,0.9982225382154284,0.8879930703624733,11.15313172340393,
55,0.9982891930323498,0.8860274520255863,11.223408699035645,
56,0.9983225204408105,0.8887593283582089,11.353184223175049,
57,0.9985113757554213,0.8859608208955224,11.210025072097778,
58,0.9983447387131177,0.8896255330490405,11.239009618759155,
59,0.9980892285815854,0.8870935501066098,11.349175691604614,
60,0.9983780661215784,0.8888925906183369,11.340907096862793,
61,0.9982336473515819,0.8859275053304904,11.170890092849731,
62,0.9984225026661927,0.8876932302771855,11.262675762176514,
63,0.9982336473515819,0.888492803837953,11.584038734436035,
64,0.9983336295769641,0.8895255863539445,11.293429851531982,
65,0.998622467116957,0.8900586353944563,11.401466131210327,
66,0.9983447387131177,0.8875599680170576,11.303486585617065,
67,0.9982558656238891,0.8890258528784648,11.444310903549194,
68,0.9984780483469605,0.8894922707889126,11.196981191635132,
69,0.9985224848915748,0.8896921641791045,11.31876826286316,
70,0.9985113757554213,0.8897587953091685,11.344209432601929,
71,0.9983225204408105,0.888626066098081,11.117182493209839,
72,0.9983780661215784,0.8857609275053305,11.222496509552002,
73,0.9983336295769641,0.888692697228145,11.310959577560425,
74,0.9985780305723427,0.8874267057569296,11.272640705108643,
75,0.9984876762875619,0.8872934434968017,11.674935579299927,
76,0.9984336118023462,0.8852278784648188,11.183846712112427,
77,0.9984780483469605,0.8873933901918977,11.253979682922363,
78,0.9984780483469605,0.8858941897654584,11.323692560195923,
79,0.9984558300746534,0.8818296908315565,11.136260032653809,
80,0.9984002843938855,0.8861273987206824,11.482518434524536,
81,0.9986669036615713,0.8875266524520256,11.729922533035278,
82,0.9986557945254178,0.8893256929637526,11.535364151000977,
83,0.9985558123000355,0.8888259594882729,11.722691774368286,
84,0.9983336295769641,0.8840951492537313,11.6372652053833,
85,0.9981892108069677,0.8861607142857143,11.560978174209595,
86,0.998466939210807,0.8881929637526652,11.729652643203735,
87,0.9986113579808034,0.8877931769722814,11.574026823043823,
88,0.9985780305723427,0.8882595948827292,11.528716087341309,
89,0.9986002488446498,0.8871934968017058,11.71794843673706,
90,0.9982891930323498,0.8877598614072495,11.113554000854492,
91,0.9986780127977248,0.8874600213219617,11.101370334625244,
92,0.9985669214361891,0.8888259594882729,11.186296463012695,
93,0.9983780661215784,0.8869602878464818,11.175697803497314,
94,0.9983447387131177,0.8888592750533049,11.06250286102295,
95,0.9985891397084963,0.888659381663113,11.163924932479858,
96,0.9984891574831141,0.8885261194029851,11.051183938980103,
97,0.9987224493423391,0.8875932835820896,11.185439348220825,
98,0.9984002843938855,0.8842617270788913,11.187247276306152,
99,0.9984447209384998,0.8866271321961621,11.226669073104858,
100,0.9984113935300392,0.8877931769722814,11.061727523803711,
Test,,,,0.8869310226760992
